Qual é o objetivo principal da ferramenta Canvas de Proposta de Valor?,"Alinhar a solução idealizada às dores, ganhos e tarefas do público-alvo."
O que define a especificidade de um seletor de Classe no CSS?,"É uma pontuação média que sobrescreve seletores de tag, mas perde para seletores de ID."
Para que serve o atributo 'placeholder' em um input?,Exibir uma dica visual temporária dentro do campo que desaparece ao iniciar a digitação.
Qual é a função da propriedade 'grid-area' em um item filho?,Posicionar o item dentro de uma área nomeada definida no contêiner pai pelo 'grid-template-areas'.
"No Bootstrap, qual classe centraliza e limita a largura do conteúdo horizontalmente?",.container
O que é o fenômeno de 'Margin Collapse' no CSS?,Quando as margens verticais de dois elementos adjacentes se combinam em uma única margem maior em vez de somarem.
Qual é o principal uso da tag <header> no HTML5?,"Definir o cabeçalho de uma página ou seção, contendo geralmente logotipos, títulos e navegação."
O que significa o termo 'Mobile-First' na codificação CSS?,Escrever o CSS base fora de media queries focado no celular e usar min-width para expandir para telas maiores.
Qual é o valor padrão da propriedade 'flex-direction'?,row (linha horizontal)
Diferencie Nível AA de Nível AAA na WCAG.,"O Nível AA é o requisito legal e corporativo padrão, enquanto o AAA é o nível máximo de excelência e inclusão especializada."
"Como o atributo 'tabindex=""0""' afeta um elemento não interativo?","Ele inclui o elemento na ordem natural de tabulação do teclado, tornando-o acessível por foco."
Para que serve a pseudo-classe ':focus-visible'?,Aplica estilos de foco apenas quando o navegador detecta que o usuário está navegando via teclado.
O que deve ser feito com imagens puramente decorativas para acessibilidade?,"Atribuir um atributo alt vazio (alt="""") para que o leitor de tela a ignore."
"No Bootstrap, qual a função da classe 'btn-primary'?","Aplica a cor principal da marca ao botão, geralmente definida no :root como --bs-primary."
O que é um 'Focus Trap' (armadilha de foco) em janelas modais?,Uma técnica de programação que impede o foco do teclado de sair do modal enquanto ele estiver aberto.
Qual é a principal função da Engenharia de Requisitos?,"Construir uma ponte entre a concepção do projeto e sua construção real, entendendo o que o cliente deseja."
O que representa a multiplicidade '1..*' em um relacionamento UML?,Indica que um objeto de uma classe pode estar associado a um ou muitos objetos de outra classe.
"Qual a diferença entre usar 'display: none' e 'aria-hidden=""true""'?",O display: none remove o elemento da tela e do leitor de tela; o aria-hidden mantém o elemento na tela mas o esconde do leitor.
Para que serve o atributo 'pattern' em um input HTML5?,Permite definir uma Expressão Regular para validar o formato específico do dado inserido (ex: CPF).
Qual é a função do atributo 'name' em um campo de formulário?,Identificar a variável que será enviada e processada pelo servidor (backend).
